Noise,RPM,Check
15.76,6.03,1
15.76,16.94,0
15.78,4.34,1
15.78,10.38,0
15.8,17.4,0
15.81,8.21,1
15.81,11.99,0
15.82,7.18,1
15.82,3.51,1
15.82,16.56,0
15.82,20.84,0
15.82,13.16,0
15.84,12.02,0
15.85,13.84,0
15.86,8.87,1
15.86,14.82,0
15.86,15.94,0
15.87,9.49,1
15.87,7.03,1
15.88,11.61,1
15.88,16.02,0
15.88,12.68,0
15.88,13.37,0
15.88,9.9,1
15.89,11.37,1
15.89,16.25,0
15.89,11.29,0
15.9,9.11,1
15.9,7.73,1
15.9,9.77,0
15.9,19.82,0
15.92,15.92,0
15.92,14.39,0
15.93,8.44,1
15.94,7.17,1
15.95,17.58,0
15.95,14.14,0
15.96,5.47,1
15.96,20.26,0
15.97,5.73,1
15.98,17.73,0
16,14.66,0
16,3.46,1
16,10.37,0
16,19.01,0
16.01,21.29,0
16.02,8.75,1
16.03,4.21,1
16.05,8.83,1
16.06,17.56,0
16.06,18.92,0
16.09,7.77,1
16.09,4.82,1
16.1,3.9,1
16.11,7.32,1
16.14,3.87,1
16.14,5.88,1
16.14,8.41,1
16.14,14.4,0
16.15,9.92,1
16.17,11.71,1
16.18,13.98,0
16.19,11.37,0
16.2,6.13,1
16.2,9.49,1
16.21,8.29,1
16.23,9.92,0
16.23,18.78,0
16.23,7.9,0
16.23,16.64,0
16.27,7.96,1
16.28,13.7,0
16.28,6.05,1
16.29,7.12,1
16.3,5.54,1
16.3,10.98,1
16.31,7.86,1
16.31,15.56,0
16.31,6.84,1
16.31,20.41,0
16.32,15.34,0
16.32,20.15,0
16.32,19.4,0
16.33,8.29,1
16.34,6.89,1
16.34,16.99,0
16.35,13.38,0
16.37,20.29,0
16.37,15.44,0
16.4,15.09,0
16.41,2.61,1
16.41,8.07,1
16.41,7.39,0
16.42,9.78,1
16.43,10.67,1
16.44,9.54,1
16.44,9.05,0
16.45,5.44,1
16.45,7.44,1
16.45,7,1
16.45,12.15,1
16.46,9.45,1
16.47,6.68,1
16.47,6.85,1
16.47,9.21,1
16.48,15.04,0
16.49,7.95,1
16.51,8.41,1
16.52,14.5,1
16.53,6.24,1
16.54,9.79,1
16.54,8.78,1
16.54,15.01,0
16.54,18.31,0
16.55,3.36,1
16.55,11.32,0
16.55,18.79,0
16.56,14.15,0
16.56,14.94,0
16.56,14.39,0
16.57,9.79,1
16.58,11.26,1
16.63,5.47,1
16.63,14.07,0
16.64,15.06,0
16.65,11.88,0
16.67,15.44,0
16.67,9.99,0
16.68,21.33,0
16.69,7.35,1
16.69,12.58,1
16.7,19.26,0
16.71,13.73,0
16.71,9.76,0
16.72,5.55,1
16.72,18.78,0
16.73,10.36,1
16.73,19.89,0
16.74,13.49,0
16.74,7.07,1
16.75,8.21,1
16.75,20.68,0
16.76,9.45,0
16.77,9.68,1
16.78,14.57,0
16.78,8.67,1
16.78,9.51,1
16.79,8.01,1
16.79,14.94,0
16.79,16.92,0
16.82,9.38,1
16.82,13.52,0
16.83,10.05,1
16.83,6.64,1
16.84,7.53,1
16.84,20.3,0
16.85,12.59,0
16.85,3.07,1
16.86,6.3,1
16.86,14.77,0
16.86,16.17,0
16.87,14.9,0
16.89,7.37,0
16.89,18.85,0
16.9,8.48,1
16.9,19.21,0
16.91,7.44,1
16.91,15.6,0
16.92,7.89,1
16.92,7.27,1
16.93,2.74,1
16.96,6.27,1
16.96,12.04,0
16.96,9.08,1
16.96,7.02,1
16.97,10.25,1
17.01,19.09,0
17.03,11.21,1
17.04,5.93,1
17.04,11.13,1
17.05,16.22,0
17.09,16.57,0
17.09,6.25,1
17.09,18.84,0
17.09,8.46,1
17.1,9.02,1
17.1,19.89,0
17.11,16.62,0
17.11,4.7,1
17.12,13.29,1
17.13,5.73,1
17.13,9.04,1
17.14,8.41,1
17.16,11.54,1
17.17,15.3,0
17.18,6.23,1
17.19,8.52,1
17.2,8.66,1
17.22,14.11,0
17.22,8.12,1
17.23,7.05,1
17.23,10.56,1
17.23,18.76,0
17.25,7.06,1
17.25,15.92,0
17.26,12.46,1
17.28,15.87,0
17.28,15.14,0
17.28,9.25,1
17.28,20.94,0
17.29,16.35,0
17.3,8.63,0
17.31,13.42,0
17.31,8.99,1
17.31,17.77,0
17.32,9.8,1
17.32,8.69,1
17.32,19.73,0
17.33,7.94,1
17.36,12.13,1
17.36,14.68,0
17.37,12.66,1
17.37,10.9,1
17.37,11.3,1
17.38,9.53,1
17.39,6.74,1
17.39,7.96,1
17.39,6.72,1
17.41,12.74,0
17.43,6.25,1
17.43,11,1
17.44,17.17,0
17.45,16.38,0
17.46,18.94,0
17.46,20.15,0
17.47,7.52,1
17.47,20.58,0
17.48,15.81,0
17.48,11.15,1
17.48,6.07,1
17.48,11.72,1
17.48,9.22,1
17.49,6.61,1
17.49,10.77,0
17.51,8.79,1
17.51,16.31,0
17.51,7.22,0
17.51,19.78,0
17.53,10,0
17.53,7.19,1
17.53,13.54,0
17.53,6.68,1
17.54,20.67,0
17.55,10.32,1
17.56,6.91,1
17.56,12.52,1
17.57,10.51,1
17.57,13.38,0
17.57,7.35,1
17.58,14.49,1
17.59,11.1,1
17.59,17.13,0
17.6,10.45,0
17.6,7.28,1
17.6,12.83,1
17.6,5.13,1
17.6,20.37,0
17.61,11.73,0
17.61,11.3,1
17.61,9.27,1
17.62,7.7,1
17.62,8.51,1
17.64,11.69,1
17.64,6.39,1
17.64,6.04,1
17.64,9.82,1
17.65,6.29,1
17.66,7.85,1
17.67,10.41,1
17.68,9.74,1
17.68,12.68,1
17.69,13.81,0
17.7,10.08,1
17.7,4.38,1
17.71,21.34,0
17.72,11.11,1
17.72,6.62,1
17.73,18.11,0
17.73,16.2,0
17.74,13.24,0
17.74,10.86,0
17.75,10.72,1
17.75,9.01,1
17.76,15.62,0
17.76,21.11,0
17.77,12.3,1
17.77,21.25,0
17.77,22.45,0
17.78,16.16,0
17.78,6.38,1
17.78,7.58,1
17.78,14.62,0
17.78,7.31,0
17.79,15.89,0
17.79,19.73,0
17.79,22.57,0
17.8,13.99,0
17.8,11.23,0
17.81,19.52,0
17.82,15.79,0
17.82,21.51,0
17.83,9.05,1
17.83,9.38,1
17.83,21.2,0
17.83,21.3,0
17.83,21.16,0
17.84,8.93,1
17.84,9.45,0
17.86,19.87,0
17.87,7.53,1
17.87,10.75,1
17.88,11.02,1
17.88,20.26,0
17.9,12.46,1
17.9,8.74,1
17.91,8.5,1
17.92,5.53,1
17.94,10.27,1
17.95,7.85,1
17.96,5.32,1
17.97,11.5,1
17.97,7.01,1
17.97,8.79,1
17.97,16.8,0
17.98,7.56,1
18,16.43,0
18.01,9.12,1
18.02,6.15,1
18.02,16.29,0
18.03,8.49,1
18.03,8.35,1
18.03,7.92,1
18.03,13.01,0
18.03,17.62,0
18.04,11.55,1
18.04,22.16,0
18.04,19.51,0
18.05,7.39,1
18.06,15.85,0
18.07,8.31,1
18.07,6.5,1
18.07,8.51,1
18.08,7.94,1
18.09,9.86,1
18.1,6.7,1
18.1,12.08,1
18.1,6.68,1
18.11,15.42,0
18.11,21.3,0
18.12,9.42,1
18.13,20.75,0
18.14,13.93,0
18.14,5.64,1
18.14,10.64,1
18.15,8.5,0
18.15,16.68,0
18.16,9.09,1
18.18,17.71,0
18.18,17.25,0
18.19,9.28,1
18.19,15.56,0
18.2,7.16,1
18.23,8.29,1
18.23,7.09,1
18.23,14.5,0
18.24,16.42,0
18.26,4.85,1
18.27,9.74,1
18.27,15.64,1
18.27,6.19,1
18.28,7.62,1
18.28,21.62,0
18.29,19.64,0
18.29,17.7,0
18.31,14.91,1
18.32,10.13,1
18.32,8.78,1
18.32,11.85,1
18.33,15.18,0
18.34,9.37,1
18.34,9.65,1
18.34,8.31,1
18.35,4.46,1
18.35,17.43,0
18.36,7,1
18.36,10.85,0
18.37,10.27,1
18.38,6.13,1
18.38,9.84,0
18.38,22.5,0
18.38,8.93,1
18.38,6.06,1
18.39,13.47,1
18.4,5.48,1
18.41,8.41,1
18.42,10.47,1
18.43,10.4,1
18.43,14.58,0
18.43,8.35,1
18.44,8.49,1
18.45,7.5,1
18.46,8.85,1
18.47,7.82,1
18.47,10.86,0
18.48,7.92,1
18.49,10.77,1
18.5,7.55,1
18.5,22.4,0
18.53,5.33,1
18.53,9.42,1
18.53,7.74,1
18.54,9.05,1
18.56,9.43,1
18.56,17.95,0
18.57,8.55,1
18.57,8.59,1
18.58,6.86,1
18.6,10.13,1
18.6,14.23,0
18.61,13.34,1
18.61,9.93,1
18.61,18.44,0
18.62,8.79,1
18.62,8.14,1
18.63,8.15,1
18.63,7.15,1
18.64,5.24,1
18.66,9.37,1
18.67,4.34,1
18.67,18.9,0
18.68,11.72,1
18.68,5.68,1
18.68,15.63,0
18.69,7.82,1
18.7,22.47,0
18.7,20.78,0
18.71,20.14,0
18.72,9.79,1
18.72,9.64,1
18.73,9.79,1
18.73,23.25,0
18.74,17.36,0
18.74,7.37,1
18.75,7.44,1
18.76,16.45,0
18.76,19.45,0
18.77,15.46,0
18.77,8.24,1
18.77,21.73,0
18.78,10.58,0
18.79,5.55,1
18.79,17.05,0
18.8,9.52,1
18.81,21.42,0
18.82,15.04,0
18.85,17.27,0
18.87,8.92,1
18.88,10.71,1
18.88,4.35,1
18.91,8.19,1
18.92,10.47,0
18.92,17.05,0
18.92,6.8,1
18.92,11.25,1
18.93,10.76,1
18.96,11.25,1
18.96,9.43,1
18.97,10.64,1
18.97,9.47,1
18.97,11.26,1
18.98,8.41,1
18.98,6.13,1
18.99,15.06,0
19.01,11.74,1
19.03,6.74,1
19.04,8.41,1
19.05,16.24,0
19.05,12.14,1
19.06,12.38,1
19.06,9.36,1
19.1,7.1,1
19.11,19.68,0
19.12,7.57,1
19.13,7.77,1
19.13,4.63,1
19.13,7.54,1
19.14,5.85,1
19.15,11.24,1
19.15,6.06,1
19.16,7.64,1
19.16,15.44,0
19.18,4.43,1
19.18,11.31,1
19.19,9.49,1
19.19,8.55,1
19.19,6.24,1
19.21,10.24,1
19.23,9.95,1
19.23,9.69,1
19.28,7.52,1
19.28,8.95,1
19.28,8.96,1
19.3,9,1
19.3,10.88,1
19.31,11.15,1
19.33,4.69,1
19.33,9.71,1
19.33,8.81,1
19.34,7.07,1
19.34,8.49,1
19.35,5.83,1
19.37,16.38,0
19.37,5.53,1
19.37,4.1,1
19.39,7.38,1
19.42,15.64,0
19.44,11.46,1
19.45,10.72,1
19.46,11.47,1
19.48,13.21,0
19.48,8.61,1
19.49,11.37,1
19.51,5.68,1
19.52,6.98,1
19.52,10.05,1
19.53,9.48,1
19.53,8.86,1
19.54,12.98,0
19.56,7.46,1
19.56,7.63,1
19.57,3.46,1
19.57,8.62,1
19.57,8.62,1
19.58,7.75,1
19.58,7.99,1
19.58,5.75,1
19.61,4.45,1
19.62,11.66,1
19.62,15.66,0
19.62,14.12,1
19.64,8.8,1
19.64,10.39,1
19.65,8.66,1
19.65,3.11,1
19.67,10.26,1
19.69,8.77,1
19.69,11.5,1
19.7,7.61,1
19.7,11.34,1
19.72,6.29,1
19.72,12.53,1
19.72,20.42,0
19.75,12.09,1
19.75,10.3,1
19.76,7.64,1
19.77,9.06,1
19.77,11.2,1
19.78,8.58,1
19.8,7.99,1
19.8,13.38,0
19.81,11.17,1
19.81,8.43,1
19.81,20.8,0
19.82,7.12,1
19.83,11.72,1
19.84,9.82,1
19.85,11.02,1
19.86,11.23,1
19.87,9.25,1
19.87,10.52,1
19.87,14.79,0
19.87,12.55,1
19.9,7.58,1
19.91,9.93,1
19.91,20.45,0
19.93,7.45,1
19.93,13.48,1
19.97,13.65,1
19.98,9.18,1
19.99,11.97,1
19.99,10.06,1
20,11.56,1
20.01,8.99,1
20.01,10.3,1
20.01,7.21,1
20.03,8.86,1
20.03,10.87,1
20.03,20.05,0
20.06,8.33,1
20.06,9.25,1
20.08,7.74,1
20.08,20.93,0
20.09,4.88,1
20.09,10.18,1
20.13,10.62,1
20.13,10.37,1
20.13,10.65,1
20.13,8.62,1
20.15,6.86,1
20.16,9.14,1
20.17,12.52,1
20.18,6.86,1
20.2,11.3,1
20.2,8.78,1
20.21,10.07,1
20.21,21.41,0
20.22,7.79,1
20.22,19.32,0
20.23,8.35,1
20.24,10.33,1
20.24,13.46,1
20.24,4.54,1
20.26,14.12,1
20.26,17.88,0
20.28,5.94,1
20.31,8.31,1
20.31,4.07,1
20.31,10.8,1
20.32,7.97,1
20.33,6.98,1
20.33,15.24,0
20.36,8.14,1
20.37,11.71,1
20.37,8.02,1
20.38,16.87,0
20.43,12.26,1
20.43,6.07,1
20.45,4.61,1
20.45,11.63,1
20.47,13.41,1
20.48,9.22,1
20.48,7.1,1
20.49,8.79,1
20.49,9.38,1
20.5,10.83,1
20.53,9.21,1
20.54,10.69,1
20.54,8.64,1
20.6,7.4,1
20.6,12.69,1
20.63,11.76,1
20.64,10.71,1
20.65,12.43,1
20.67,18.28,0
20.67,18.65,0
20.68,7.59,1
20.69,12.08,1
20.7,12.81,0
20.71,13.72,1
20.76,12.22,1
20.79,10.51,1
20.81,9.31,1
20.81,12.41,1
20.81,15.65,1
20.81,9.26,1
20.82,8.75,1
20.82,8.99,1
20.83,9.22,1
20.84,11.66,1
20.84,14.49,1
20.85,11.3,1
20.91,8.5,1
20.94,12.09,1
20.97,6.92,1
20.98,12.28,1
20.98,11.2,1
21.03,9.9,1
21.05,10.18,1
21.05,19.88,0
21.07,11.78,1
21.08,5.05,1
21.09,14.83,0
21.1,6.83,1
21.11,6.41,1
21.13,4.14,1
21.14,8.09,1
21.17,9.49,1
21.17,21.81,0
21.18,10.66,1
21.22,11.57,1
21.29,9.88,1
21.34,9.72,1
21.34,3.97,1
21.37,7.79,1
21.38,8.08,1
21.42,8.52,1
21.42,8.62,1
21.43,15.19,0
21.45,9.01,1
21.46,9.36,1
21.47,8.47,1
21.47,12.67,1
21.49,9.82,1
21.49,10.11,1
21.5,10.38,1
21.51,9.13,1
21.53,9.28,1
21.53,16.75,0
21.53,12.37,1
21.54,7.9,1
21.57,13.64,1
21.6,9.96,1
21.6,7.29,1
21.61,10.89,1
21.61,11.04,1
21.68,11.95,1
21.68,8.54,1
21.72,13.11,1
21.77,9.71,1
21.77,10.75,1
21.83,11.16,1
21.83,18.2,0
21.84,10.56,1
21.87,10.4,1
21.88,10.72,1
21.95,7.99,1
21.96,11.78,1
21.97,18.82,0
21.98,14.34,1
22.07,10.22,1
22.1,11.36,1
22.15,6.69,1
22.22,10.6,1
22.26,8.72,1
22.26,11.65,1
22.27,9.24,1
22.28,8.23,1
22.33,9.56,1
22.4,8.51,1
22.44,10.56,1
22.47,8.84,1
22.54,9.55,1
22.54,6.19,1
22.55,18.3,0
22.55,7.9,1
22.57,9.45,1
22.57,12.74,1
22.58,6.77,1
22.6,11.88,1
22.61,8.36,1
22.64,12.58,1
22.68,8.4,1
22.7,9.6,1
22.77,9.94,1
22.89,9.02,1
23.07,9.85,1
23.08,8.78,1
23.14,7.71,1
23.44,8.45,1
23.48,11.62,1
23.83,11.25,1
24.06,8.67,1
24.06,8.98,1
25.14,9.7,1
25.74,9.34,1
25.79,9.94,1
