顧客ID,性別,高齢者,既婚者,音声通話,インターネット,契約期間,支払方法,国際通話,通話分数_昼,通話回数_昼,通話分数_夕,通話回数_夕,通話分数_夜,通話回数_夜,サービスコール,月間支払額,解約
2325-ZUSFD,F,0,1,1,1,1,2,0,4.64,2.05,3.4,1.95,4.61,1.95,0.04,68.65,1
2332-EFBJY,M,0,0,1,0,0,0,0,15.14,5.44,14.13,6.31,16.79,7.56,0.31,21.4,1
2333-KWEWW,M,0,0,1,0,2,3,0,9.27,5.5,8.61,5.39,10.52,4.94,0,21.59,0
2338-BQEZT,F,0,0,1,1,0,3,0,3.17,2.18,3.95,1.73,4.01,1.22,0.02,51.51,0
2342-CKIAO,F,0,0,1,0,0,0,0,87.6,34,99.6,36.5,109.9,49.5,0.5,20.6,0
2346-CZYIL,M,0,0,1,0,2,3,0,4.28,2.85,7.91,3.7,8.09,2.67,0.04,19.69,0
2346-LOCWC,F,0,1,1,0,2,3,0,3.17,2.38,3.51,1.55,2.88,1.53,0.03,20.54,0
2348-KCJLT,F,0,1,1,1,1,0,1,1.3,2.23,4.54,1.77,6.24,2.34,0.07,61.87,0
2351-BKRZW,F,0,1,1,1,2,2,0,3.06,2.28,5.35,2.58,6.6,2.02,0.05,75.68,0
2351-RRBUE,F,0,1,1,0,1,0,0,31.89,10.86,30.63,18.71,22.06,11.43,0.43,19.16,0
2359-KLTEK,F,0,1,1,2,0,2,0,5.04,3.05,4.4,2.76,5.38,2.32,0.07,93.85,0
2361-UPSND,F,0,1,1,1,1,0,0,2.68,2.17,3.44,1.78,5.57,1.78,0,70.24,0
2363-BJLSL,M,0,0,1,1,0,2,0,3.38,1.08,4.42,1.44,2.42,1.42,0,80.34,0
2364-UFROM,M,0,0,1,1,1,1,0,6.43,2.27,5.27,2.87,7.85,3.5,0.03,68.16,0
2369-FEVNO,M,0,0,1,0,0,0,1,173,101,209.4,93,231.1,91,0,19.9,0
2371-JUNGC,M,0,0,1,0,0,0,0,14.28,7.18,14.78,11.27,13.64,12.55,0.09,18.91,0
2371-KFUOG,M,0,0,1,2,1,2,0,2.09,1.52,4.36,2.14,3.37,2.07,0.02,98.64,0
2372-HWUHI,M,0,0,1,1,0,1,0,78.95,52.5,77.5,50.5,94.8,42,2,40.65,1
2373-NTKOD,M,0,0,1,1,0,1,0,20.52,13.62,19.43,11.25,21.11,14.62,0.12,68.31,0
2378-YIZKA,F,0,1,1,1,2,3,0,1.54,1.69,3.49,1.84,3.87,1.53,0.04,82.47,0
2379-GYFLQ,M,0,0,1,2,1,3,0,3.79,1.85,5.52,2.07,3.83,2.09,0.13,96.15,0
2384-OVPSA,F,1,0,1,0,2,0,1,2.89,2.39,3.88,1.97,5.01,1.92,0,19.37,0
2386-LAHRK,M,0,0,1,1,0,0,1,157.5,109,189.6,67,227,76,3,53.5,1
2386-OWURY,F,0,0,1,2,0,1,0,2.79,1.47,2.61,1.41,3.29,2.26,0.02,100.31,0
2387-KDZQY,M,0,0,1,0,1,0,0,14.23,5.94,7.61,7.12,15.58,6.12,0.06,16.44,0
2391-IPLOP,M,0,1,1,1,1,1,0,3.13,1.68,3.23,1.92,5.89,2.14,0.02,68.84,0
2391-SOORI,M,0,0,1,1,0,1,0,55.48,28,69.55,30.5,72.03,21.25,0,54.92,1
2393-DIVAI,F,0,0,1,0,0,0,0,20,34,34.07,26.67,87.27,35.33,0,20.57,0
2397-BRLOM,M,1,1,1,2,0,3,0,34.23,12.12,36.21,13.25,33.64,15.75,0.25,72.94,1
2400-FEQME,M,0,1,1,0,2,0,0,4.18,2.11,3.68,2,3.12,1.91,0.02,21.42,0
2402-TAIRZ,F,0,0,1,2,1,1,1,5.33,3.43,4.22,2.49,5.52,2.68,0.11,81.6,0
2408-PSJVE,M,0,1,1,1,0,0,0,1.76,3.2,4.7,1.36,5.81,2.61,0.02,66.46,0
2410-CIYFZ,M,0,0,1,0,0,0,0,81.35,51,146,52.5,91.65,40,0,21.45,0
2418-TPEUN,F,0,1,1,0,2,3,1,4.19,2.32,3.49,2.07,4.8,1.68,0.04,20,0
2424-WVHPL,M,1,0,1,2,0,1,0,126.3,102,166.8,85,187.8,135,3,74.7,0
2428-HYUNX,M,1,1,1,0,2,3,0,4.17,2.11,3.88,1.82,4.4,2,0.07,19.26,0
2428-ZMCTB,M,0,0,1,0,0,3,0,25.53,11.4,19.46,8.3,27.66,7.8,0.3,20.83,0
2429-AYKKO,M,0,0,1,0,2,2,0,3.51,1.56,2.47,1.38,2.2,2.03,0.04,19.92,0
2430-RRYUW,M,0,0,1,1,1,0,0,3.07,1.32,3.05,1.68,1.54,1.24,0,52.51,0
2439-QKJUL,M,0,0,1,0,0,0,0,7.02,12.4,36.16,17.8,50.32,11.6,0.2,21.96,0
2450-ZKEED,F,0,0,1,1,1,2,0,10.35,9.27,13.21,13.27,17.75,12.45,0.09,59.24,0
2452-SNHFZ,F,0,0,1,2,0,3,0,4.33,1.3,3.44,2.7,3.74,2.06,0,75.43,0
2458-EOMRE,F,0,0,1,1,0,2,1,12.14,4.64,19.96,8.73,19.09,6.73,0.09,66.73,0
2465-BLLEU,M,0,0,1,0,0,0,0,131.7,108,216.5,103,196.1,126,1,19.8,0
2466-FCCPT,F,0,1,1,0,1,2,0,13.69,5.65,5.98,7.8,13.38,5.85,0.05,19.78,0
2466-NEJOJ,M,0,1,1,0,0,3,0,20.69,9.75,25.69,11.12,26.7,15.5,0,21.23,0
2468-SJFLM,M,0,0,1,2,0,0,0,249.4,118,211.5,95,169,116,0,74.3,0
2469-DTSGX,F,1,0,1,2,2,1,0,3.29,1.88,2.59,1.21,1.76,1.56,0.03,110.33,0
2472-OVKUP,M,0,1,1,2,0,1,0,11.78,18,26.25,14.5,25.8,13.67,0.67,88.5,1
2475-MROZF,M,0,0,1,2,0,3,0,7.36,3.7,5.21,2.23,6.26,2.97,0.07,95.08,0
2480-JZOSN,F,0,1,1,0,0,0,0,221.6,74,288.4,100,240.3,105,1,20.7,0
2480-SQIOB,M,0,1,1,1,0,1,0,35.88,30.25,47.33,27.75,43.73,20.5,0.75,42.42,0
2482-CZGBB,M,0,0,1,2,0,1,1,22.89,13.4,25.57,7.1,20.8,12,0.4,74,1
2483-XSSMZ,F,0,0,1,1,1,1,0,3.1,2.69,5.61,2.51,5.81,2.82,0.03,48.37,0
2484-DGXPZ,F,0,1,1,0,0,0,0,7.17,3.26,9.23,3.58,8.05,3.77,0.03,21.26,1
2495-TTHBQ,F,0,0,1,0,1,0,0,46.25,22,56.23,24.5,53.1,26.25,0.5,21.2,0
2498-XLDZR,F,0,1,1,1,2,0,0,4.49,2.5,4.2,2.03,6.74,2.62,0.06,72.4,0
2499-AJYUA,F,1,1,1,2,2,3,0,1.87,1.1,3.08,1.58,1.58,1.64,0.01,109.48,0
2501-XWWTZ,M,0,0,1,2,0,1,1,18.09,10,26.48,10.09,17.96,8.36,0.09,69.1,0
2504-DSHIH,M,1,1,1,2,0,1,0,6.33,4.48,8.57,5.96,12.8,3.61,0,85.91,0
2506-CLAKW,F,0,0,1,2,0,2,1,37.02,14.83,26.77,18.17,36.47,17,0,94.58,1
2514-GINMM,M,0,0,1,2,0,1,1,145.9,69,208.2,141,180.9,106,0,79.5,1
2516-XSJKX,F,0,1,1,1,2,1,0,2.76,1.95,3.66,2.12,4.98,2.8,0.05,76.26,0
2521-NPUZR,M,0,1,1,2,2,3,0,3.08,1.84,3.12,1.67,2.96,1.3,0.06,101.22,0
2522-WLNSF,F,1,1,1,1,1,2,0,1.52,3.15,6.77,3.06,6.69,3.47,0.06,61.95,0
2523-EWWZL,F,0,1,1,2,0,1,0,5.43,2.7,9.13,2.41,7.37,4.22,0.04,77.53,0
2525-GVKQU,F,0,0,1,0,2,0,0,2.36,1.58,3.68,1.67,3.79,1.18,0,18.22,0
2528-HFYZX,M,1,1,1,2,0,1,0,15.36,7,14.75,6.18,10.35,6.59,0,72.55,1
2541-YGPKE,M,0,1,1,1,1,3,0,4.15,1.88,5.64,3.24,6.44,2.62,0,65.8,0
2542-HYGIQ,F,0,0,1,0,0,3,0,205.1,102,232.7,109,259.9,95,2,20,0
2545-LXYVJ,M,0,1,1,0,2,2,1,1.77,1.5,3.49,1.12,1.88,1.22,0.01,20.72,0
2546-KZAAT,M,0,1,1,1,1,0,0,3.42,2.12,2.96,1.23,4.55,2.02,0.02,74.34,0
2550-AEVRU,F,0,1,1,1,1,1,0,1.98,1.56,2.75,1.14,4.38,1.49,0,53.56,0
2550-QHZGP,M,0,0,1,0,1,0,0,10.39,10.71,29.8,16.71,9.4,10.14,0.14,18.37,0
2560-PPCHE,F,0,0,1,2,1,2,0,3.51,1.43,2.1,1.63,3.04,1.65,0.02,103.76,0
2568-BRGYX,M,0,0,1,2,0,1,0,71.42,31,57.73,26.5,57.67,35,0,59.5,1
2569-WGERO,F,0,0,1,0,2,2,0,2.05,1.83,3.84,1.31,2.08,1.53,0,19.71,0
2576-HXMPA,F,0,0,1,0,0,3,0,178.6,83,213.1,103,198,119,1,19.6,0
2578-JQPHZ,M,0,0,1,2,2,2,0,4.55,2.09,2.7,1.98,5.38,1.48,0.05,99.51,0
2580-ATZSQ,F,0,1,1,1,1,2,0,2.59,1.42,2.89,1.65,3.33,1.46,0.03,59.6,0
2585-KTFRE,M,0,0,1,1,0,2,0,97.4,57,203.6,98,173.9,124,2,70.5,0
2587-YNLES,F,0,1,1,0,2,0,0,33.87,13.5,25.42,16.5,32.97,12.67,0.33,16.73,0
2589-AYCRP,F,0,0,1,0,1,2,0,0.35,2.42,3.23,2.5,4.06,1.64,0.02,19.78,0
2592-HODOV,M,0,0,1,0,1,3,0,12.32,6.69,19.75,9.23,20.77,8.23,0.15,19.98,0
2592-YKDIF,F,0,0,1,0,0,0,0,149.8,112,180,93,140,119,2,20.4,0
2595-KIWPV,M,0,0,1,0,2,3,0,7.78,4.67,9.22,4,5.87,3.26,0.15,18.86,0
2599-CIPQE,M,0,1,1,2,2,3,0,3.33,1.72,2.67,1.55,2.16,1.46,0,109.62,0
2599-CZABP,M,0,1,1,1,1,1,1,18.27,8.93,10.19,7.93,12.94,7.21,0,45.81,0
2603-HVKCG,M,0,0,1,2,0,1,0,4.55,2.97,8.04,4.06,4.39,2.35,0.06,101.41,0
2604-IJPDU,F,0,1,1,2,0,1,0,12.64,4.65,8.92,5.6,13.2,5.25,0.15,95.08,0
2604-XVDAM,F,0,0,1,1,0,2,0,18.43,10.33,9.23,7.83,20.01,9.33,0,45.08,0
2607-DHDAK,M,0,1,1,0,2,3,0,3.43,1.26,2.54,0.83,1.99,1.56,0.04,19.65,0
2607-FBDFF,M,0,0,1,1,0,3,0,207.2,113,256,80,211,87,1,49,0
2608-BHKFN,F,0,0,1,2,0,3,0,68.3,21.25,52.77,20.5,50.92,32.25,0.5,66.72,1
2616-FLVQC,M,0,0,1,0,2,0,0,2.55,1.2,3.17,1.59,3.62,1.36,0.03,19.38,0
2621-UDNLU,F,0,1,1,0,0,0,0,60.23,27.33,57.9,30,77.17,29.67,0.67,24,0
2626-VEEWG,M,0,1,1,0,2,3,0,3.8,1.27,2.14,1.19,2.3,1.52,0.03,19.17,0
2636-ALXXZ,F,1,0,1,2,0,1,0,247.2,105,225.5,133,186.3,76,2,69.6,1
2636-SJDOU,M,0,0,1,2,1,3,0,1.34,1.44,3.03,1.98,3.62,1.45,0,82.64,0
2637-FKFSY,F,0,1,1,1,0,0,0,51.97,41,74.73,37.33,73.67,38.67,0.67,43.4,0
2640-LYMOV,M,0,0,1,0,0,0,0,112.5,40.5,88.45,31.5,97.15,55,1.5,19.4,0
2642-MAWLJ,F,0,1,1,0,2,2,0,4.81,2.53,6.83,1.78,8.33,2.75,0,19.94,0
2645-QTLMB,M,0,0,1,2,0,1,1,20.46,8.57,25.64,22.71,24.54,17.43,0.57,95.57,1
2650-GYRYL,M,0,1,1,0,1,2,0,6.11,2.58,5.13,3.52,8.68,2.42,0,18.19,0
2651-ZCBXV,M,0,0,1,2,2,3,0,0.35,1.7,4.79,1.5,2.03,1.37,0.02,106.68,0
2654-VBVPB,F,0,0,1,0,0,2,0,280.2,136,220.5,92,136.9,102,4,19.9,0
2657-VPXTA,F,0,1,1,2,0,1,0,17.87,6.1,25.23,8.4,25.57,7.6,0.1,92.95,0
2661-GKBTK,M,0,1,1,1,2,2,0,2.05,1.77,3.03,1.7,4.08,1.25,0.03,75.73,0
2664-XJZNO,M,0,1,1,2,2,3,0,1.77,0.93,2.54,1.25,2.4,1.28,0.01,104.99,0
2667-WYLWJ,F,0,1,1,0,1,0,0,24.46,14.5,26.14,10.88,25.14,9.12,0.12,18.12,1
2668-TZSPS,M,0,0,1,0,0,0,0,188.4,63,165.9,89,205.7,71,1,20.5,0
2669-OIDSD,F,0,1,1,2,0,3,0,2.68,2.17,3.28,1.08,3.07,1.58,0.04,100.71,0
2672-HUYVI,F,0,0,1,2,0,1,0,32.97,11,22.32,19.83,29.55,15.67,0.67,75.88,1
2672-OJQZP,F,0,0,1,1,0,0,0,199.8,138,167.1,91,271.8,94,1,44.8,0
2672-TGEFF,F,0,1,1,2,0,1,0,2.92,3.46,5.05,2.08,5.91,2.57,0,90.29,0
2673-CXQEU,F,1,0,1,2,1,1,0,2.4,1.86,2.72,1.7,4.22,1.43,0.02,109.63,0
2673-ZALNP,F,0,0,1,0,1,0,0,22.81,14.57,24.11,16.14,34.87,18.14,0.43,24.74,0
2675-IJRGJ,M,0,0,1,0,2,2,0,2.45,2.17,3.03,1.91,5,1.19,0.04,18.45,0
2676-ISHSF,M,0,0,1,0,0,0,0,223.2,142,216.5,114,214.7,111,1,20.3,0
2676-OXPPQ,M,0,0,1,1,0,2,0,31.62,16.67,19.32,22.17,36.77,19.17,0,55.95,0
2680-XKKNJ,F,0,0,1,1,1,2,0,20.25,10.25,40.59,9.62,20.01,14,0,58.66,0
2682-KEVRP,F,1,0,1,0,1,0,0,9.62,5.23,7.27,3.82,6.55,3.64,0.05,18.95,0
2688-BHGOG,M,1,0,1,2,0,1,0,21.84,10.33,26.82,15.56,25.11,13.11,0.22,79.84,0
2690-DVRVK,M,0,1,1,0,1,1,0,40.74,18.4,43.28,19.4,30.84,13.2,0.4,19.9,0
2692-AQCPF,F,0,1,1,2,1,3,1,3.29,1.62,2.46,1.29,2.14,2.11,0.03,109.52,0
2692-BUCFV,M,1,0,1,2,0,2,0,5.19,2.59,6.66,3.21,10.74,3.21,0.03,101.68,0
2700-LUEVA,M,0,0,1,0,0,3,0,176.1,103,199.7,130,263.9,96,2,20.8,0
2703-AMTUL,M,0,1,1,1,1,0,0,3.93,2.97,4.53,2.92,6.11,2.75,0.06,53.87,0
2709-UQGNP,M,0,0,1,1,0,0,0,30.52,8,15.65,10.9,28,8.1,0.1,52.45,0
2710-WYVXG,F,0,0,1,1,2,0,0,62.3,38,85.43,30.33,111.57,34.67,0.33,71.13,0
2716-GFZOR,M,0,1,1,2,0,3,0,2.23,2.02,6.08,2.44,5.32,2.53,0,82.6,0
2717-HVIZY,F,0,0,1,0,0,0,0,21.35,18.12,29.59,11.62,36.81,12.5,0.12,20.45,0
2718-YSKCS,M,0,1,1,0,2,2,0,3.81,1.39,3.45,1.55,1.53,1.59,0.01,19.54,0
2719-BDAQO,M,0,0,1,2,0,1,0,9.82,5,13.01,5.41,11.61,5.71,0.06,95.63,1
2722-JMONI,F,1,1,1,1,0,1,0,272.7,74,224.9,85,178.2,104,2,49.6,1
2725-IWWBA,M,0,1,1,1,1,0,0,3.51,2.65,4.8,2.07,4.88,2.26,0.02,55.65,0
2725-KXXWT,M,0,1,1,2,0,1,1,179.9,72,170,98,190.6,89,1,90.8,1
2729-VNVAP,F,0,1,1,0,2,3,0,4.12,3.79,4.95,2.67,6.96,3.21,0,19.44,0
2731-GJRDG,F,0,0,1,2,1,2,0,6.6,2.78,6.98,3.03,4.64,3.31,0.06,112.75,0
2732-ISEZX,F,0,0,1,0,0,0,0,31.18,24.4,32.46,21.4,25.52,21,0.6,20.86,0
2737-YNGYW,F,0,0,1,2,0,1,1,102,42,84.25,30.5,82,51,1.5,92.05,1
2739-CACDQ,F,1,0,1,2,0,3,0,7.96,6,13.95,7.18,6.96,5.35,0,86.48,0
2739-CCZMB,M,0,0,1,0,0,3,0,50.64,19,37.6,23.2,28.4,26.6,0.2,24.4,0
2749-CTKAJ,M,0,1,1,0,1,0,0,10.99,4.23,7.75,3.77,13.42,4.73,0.14,19.09,0
2750-BJLSB,F,0,0,1,2,1,1,0,3.92,2.26,4.36,1.49,4.77,2.83,0.04,100.65,0
2753-JMMCV,M,0,0,1,1,2,3,0,2.03,1.58,4.3,1.75,2.77,1.14,0,73.93,0
2758-RNWXS,M,0,0,1,2,1,1,0,3.86,2.8,6.91,3.06,7.05,2.74,0.06,92.89,0
2761-OCIAX,M,1,0,1,2,0,1,0,82.7,53,136.85,54.5,105,46.5,0,82.7,1
2782-LFZVW,F,0,0,1,1,0,0,0,19.69,9.18,15.74,8.91,22.01,8.64,0.09,54.69,0
2788-CJQAQ,M,0,0,1,0,1,0,0,12.25,5.08,9.68,5.77,20.15,5.85,0.08,20.78,0
2789-HQBOU,M,0,0,1,2,0,1,0,77.47,32.33,62,29.33,63.5,42.67,1,84.6,0
2791-SFVEW,F,0,0,1,0,0,2,0,21.64,11.78,32.52,11.44,24.96,9.11,0,26.47,0
2792-LSHWX,F,0,0,1,2,0,0,0,25.9,119,206.5,96,228.1,64,1,83.4,0
2792-VPPET,M,0,0,1,0,0,1,0,36.83,26.33,74.4,37,56.5,21.33,1,25.67,0
2796-NNUFI,F,0,1,1,0,2,0,1,4.43,2.3,4.08,2.15,2.21,2.33,0.07,20.15,0
2796-UUZZO,M,0,1,1,2,0,3,0,3.26,1.81,3.48,1.57,3.43,1.51,0.02,77.72,0
2798-NYLMZ,M,0,1,1,2,2,3,0,3.25,1.2,3.13,1.15,2.08,1.48,0.03,107.27,0
2799-ARNLO,F,1,1,1,2,0,1,0,29.7,23,55.28,16.8,38.72,22.4,0.2,68.32,0
2800-VEQXM,F,0,0,1,2,0,0,0,64.27,34.67,78.13,32,67.73,33.67,1,79.37,0
2801-NISEI,M,0,0,1,1,0,1,0,11.71,3.46,5.99,5.42,9.97,5.33,0.04,56.19,0
2804-ETQDK,M,0,0,1,0,2,0,0,1.28,1.79,3.79,1.3,2.93,1.44,0.02,20.56,0
2805-AUFQN,F,0,0,1,0,2,3,0,7.72,4.16,4.46,3.92,9.1,3.76,0.04,19.01,0
2805-EDJPQ,F,0,1,1,2,1,3,0,1.68,1.66,2.64,1.43,3.81,1.52,0,100.15,0
2806-MLNTI,M,1,1,1,2,1,2,0,3.61,1.6,3.87,1.56,5.08,1.52,0.02,103.39,0
2811-POVEX,F,1,1,1,2,0,2,0,4.9,5.17,9.47,4.74,6.61,3.3,0.04,92.63,0
2812-REYAT,F,0,1,1,0,1,2,0,3.99,2.24,3.7,2.22,3.64,2.14,0,18.84,0
2812-SFXMJ,M,0,0,1,0,0,0,0,211.2,80,237.7,93,259.2,58,0,20.1,0
2815-CPTUL,M,1,0,1,2,0,0,0,22.6,21.6,33.84,21.4,31.32,12.2,0.4,66.38,1
2817-LVCPP,F,0,0,1,0,2,3,0,3.53,1.24,4.02,2.48,3.01,2.76,0,20.48,0
2819-GWENI,F,0,1,1,0,1,0,0,8.56,3.68,10.21,2.32,9.17,3.79,0,19.39,0
2821-WARNZ,F,0,0,1,0,1,3,0,0.55,2.39,3.28,1.98,5.7,1.96,0.06,18.8,0
2826-UWHIS,M,0,1,1,2,0,2,0,5.6,1.8,4.32,2.13,4.69,1.93,0.04,83.91,0
2828-SLQPF,M,0,0,1,1,0,2,0,7.02,5.95,6.37,4.84,13.41,6.79,0.05,45.57,0
2829-HYVZP,M,0,0,1,0,1,0,0,9.96,3.48,7.03,3.52,7.01,1.69,0,19.73,0
2830-LEWOA,M,0,1,1,2,1,3,1,3.62,1.89,2.71,1.59,3.86,1.92,0.02,105.72,0
2831-EBWRN,M,0,0,1,1,0,1,0,55.4,25.25,71.3,12.5,41.85,20.75,1,49.95,0
2832-SCUCO,F,0,0,1,0,0,1,0,54,39.5,120.95,76,126.05,46,1.5,28.7,0
2833-SLKDQ,M,0,0,1,1,0,0,0,112.2,95,209.6,108,260.9,78,0,45.1,1
2834-SPCJV,M,0,1,1,2,0,1,0,6.04,1.65,4.28,1.9,4.98,2.33,0.06,83.63,1
2839-RFSQE,F,0,0,1,0,0,0,0,69.05,57.5,79.1,41,107.85,59,2.5,19.35,1
2840-XANRC,M,1,1,1,2,0,1,1,9.31,3.38,7.87,3.08,6.45,4.21,0.08,92.96,1
2843-CQMEG,M,0,0,1,1,0,0,0,6.51,4.33,3.75,4.21,8.55,4.83,0.04,50.76,0
2845-KDHVX,F,0,1,1,1,2,0,1,1.66,1.2,1.93,1.56,1.51,1.44,0,68.42,0
2848-YXSMW,M,0,1,1,0,2,3,0,1.68,1.35,2.96,1.28,2.27,1.61,0.03,18.93,0
2851-MMUTZ,F,0,0,1,1,0,0,0,10.28,3.85,4.88,4.48,4.7,3.74,0.04,53.31,0
2851-STERV,M,1,0,1,1,1,1,0,2.56,3.66,5.17,3.91,5.52,2.69,0.06,70.61,0
2853-CWQFQ,M,0,0,1,1,0,0,0,188,127,90.5,118,150.3,64,3,59.6,0
2862-JVEOY,M,0,0,1,0,1,0,0,35.73,15.5,35.28,9.5,27.5,13.17,0.17,20.73,0
2863-IMQDR,F,0,0,1,1,2,1,0,3.12,1.52,4.08,2.08,3.54,1.34,0.02,87.03,0
2866-IKBTM,F,0,0,1,0,0,0,0,65.4,97,168.2,76,236,113,2,19.6,0
2874-YXVVA,F,0,0,1,2,0,1,0,6.59,2.21,4.58,3.21,4.42,4.21,0.03,106.91,0
2876-GZYZC,F,0,0,1,2,0,1,0,15.62,7.08,11.61,9.62,18.88,10.08,0.08,93.52,0
2878-DHMIN,M,0,1,1,0,1,1,0,2.76,2.77,5.54,2.71,4.91,2.51,0.06,19.03,0
2880-FPNAE,M,1,1,1,2,0,1,0,96.9,31,98.8,48.5,109.4,47.5,0,70.05,0
2882-DDZPG,F,0,0,1,0,0,2,0,12.03,7.25,22.21,10.67,18.13,4.92,0,18.96,0
2882-WDTBA,M,0,1,1,1,2,2,0,2.83,1.33,3.05,1.2,2.62,1.33,0,78.09,0
2884-GBPFB,F,0,1,1,2,0,1,0,6.46,3.63,8.7,2.37,5.18,3.77,0.06,69.05,1
2887-JPYLU,F,0,0,1,1,0,2,0,3.57,2.95,4.14,3.05,5.82,2.73,0,44.92,0
2888-ADFAO,F,0,1,1,0,2,2,1,2.7,2,6.25,2.45,3.7,1.94,0,22.17,0
2892-GESUL,F,0,1,1,0,2,0,0,2.77,6.83,8.37,4.5,10.46,3.72,0.11,17.18,0
2896-TBNBE,M,0,1,1,2,1,1,1,4.51,3.08,4.85,2.45,5.68,2.2,0,78.32,0
2897-DOVND,M,0,0,1,2,0,1,0,119.95,45.5,88.55,52,108.6,59,1,73.35,0
2900-PHPLN,F,1,1,1,0,2,3,0,1.95,1.61,2.56,1.5,1.02,1.36,0.03,20.89,0
2903-YYTBW,M,0,1,1,1,0,1,0,82.3,77,167.2,80,194.7,70,1,44.6,0
2905-KFQUV,F,0,1,1,2,0,3,0,50.7,72.5,124.55,58,78.8,53.5,0.5,77.4,0
2907-ILJBN,F,0,1,1,0,1,0,0,21.44,9.91,14.29,8.55,17.11,9,0,21.26,0
2919-HBCJO,F,0,0,1,2,0,2,1,69.47,30.75,38.95,28,64.22,17.75,0,83.4,1
2920-RNCEZ,M,0,1,1,2,0,3,0,222.7,94,105.8,98,214.8,78,1,70,0
2921-XWDJH,F,1,1,1,2,0,1,0,5.18,2.32,5.01,1.79,5.58,2.74,0,82.82,0
2926-JEJJC,F,0,0,1,0,1,2,0,18.55,13.75,33.39,11.25,18.94,12.62,0,17.62,0
2928-HLDBA,F,0,0,1,0,0,0,0,36.77,9.5,35.18,19.17,41.5,21.5,0.17,18.8,0
2929-ERCFZ,F,0,1,1,2,0,1,1,5.96,11.12,33.05,11.88,29.4,12.12,0,97.16,1
2931-FSOHN,M,1,0,1,1,0,1,0,19.39,8.46,17.39,7.92,11.97,6.38,0.08,60.65,0
2931-XIQBR,F,0,1,1,2,1,0,0,2.68,2.24,4.12,2.22,3.61,2.36,0,103.07,0
2937-FTHUR,F,0,0,1,1,0,1,0,13.29,5.67,12.41,7.06,13.97,5.78,0,64.82,0
2947-DOMLJ,M,0,0,1,1,0,0,1,124.5,134,141.2,78,268.2,113,2,50.6,1
2954-PIBKO,F,0,1,1,1,2,3,0,3.76,1.39,2.54,1.41,3.22,0.52,0.04,61.65,0
2955-BJZHG,M,0,1,1,2,0,1,0,14,4.82,16.38,5.53,11.36,7.88,0,82.41,1
2957-LOLHO,M,0,0,1,1,0,2,0,13.09,11.17,15.41,10.17,16.43,4.92,0.33,43.24,1
2958-NHPPS,M,0,0,1,0,0,1,0,9.31,2.7,8.73,4.83,10.73,5.48,0,20.6,0
2959-FENLU,F,0,0,1,2,0,3,0,28.93,11.89,23.13,11.56,23.1,12.78,0.67,86.82,0
2959-MJHIC,M,0,1,1,2,0,1,0,56.48,27.5,74.78,21.5,62.83,20.25,0.25,76.85,1
2960-NKRSO,M,0,0,1,2,0,1,0,7.43,4.04,7.01,4.71,5.02,3.88,0.04,87.8,0
2967-MXRAV,M,0,1,1,0,1,0,0,147.2,119,192.8,91,172.7,105,1,18.8,0
2969-VAPYH,F,0,0,1,1,1,3,0,2.86,1.85,3,1.73,3.43,1.13,0.01,57.76,0
2969-WGHQO,F,0,1,1,1,1,1,0,21.17,11.71,44.1,9.57,33.63,11.29,0.29,68.16,0
2977-CEBSX,F,0,0,1,1,2,3,0,1.9,1.86,3.5,1.53,2.91,1.61,0.05,90.39,0
2984-AFWNC,F,0,0,1,2,0,1,0,50.23,35,65.77,44.33,56.33,38.67,0.33,97.73,0
2984-RGEYA,F,0,1,1,0,2,2,0,2.09,0.88,2.82,1.52,1.59,1.36,0.01,19.93,0
2985-JUUBZ,M,0,1,1,1,0,1,0,4.01,2.12,5.58,1.98,3.1,2.3,0.05,75.39,0
2988-PLAHS,F,0,0,1,1,1,1,0,10.3,37.67,62.33,37.67,76.93,33.67,0.33,73.5,0
2999-AANRQ,F,0,0,1,1,2,3,0,6.73,6.33,6.42,4.57,10.83,4.62,0.1,72.61,0
3003-CMDUU,F,0,1,1,2,0,1,0,5.38,3.52,5.72,4.48,8.96,2.44,0.04,95.83,0
3007-FDPEA,F,0,0,1,0,0,2,0,72.7,46.5,104.55,49,107,48,0.5,19.95,0
3011-WQKSZ,M,0,0,1,0,0,1,0,6.16,6.21,13.14,4.74,8.54,4.42,0.16,19.87,0
3012-VFFMN,F,0,1,1,0,0,0,0,21.93,12,27.71,10.43,36.64,13.43,0.71,22.71,0
3014-WJKSM,M,0,1,1,2,0,3,0,7.16,3.03,4.57,2.17,8.8,3.38,0,78.05,0
3021-VLNRJ,F,0,0,1,1,1,3,0,3.87,1.16,2.97,2.3,5.65,2.1,0.04,69.56,0
3026-ATZYV,F,0,1,1,1,1,2,0,6.74,1.89,5.66,1.59,4.88,2.03,0.11,71.86,0
3027-ZTDHO,M,0,0,1,2,0,1,1,271.5,98,253.4,102,165.4,85,1,89.9,1
3030-YZADT,M,0,0,1,1,0,0,0,34.29,15.44,16.76,10.44,22.08,7.33,0.44,47.89,1
3030-ZKIWL,M,0,0,1,0,0,0,0,134.7,121,180,83,200.9,104,1,20.1,0
3039-MJSLN,M,0,0,1,0,0,2,0,49.87,40,66.9,28.33,60.4,35.67,0,16.87,0
3043-SUDUA,F,0,0,1,0,0,2,0,6.58,3.5,7.46,2.28,7.92,2.81,0.09,18.8,0
